cluster,mean_age,female_ratio,size
116,65.77733140655106,0.5910500963391137,103800
117,71.89475937355071,0.5007134957725375,112124
118,67.0104759726522,0.3560401231794679,244846
119,63.171952043228636,0.5431104356636272,59220
120,67.72592696221683,0.49694812327716636,192996
121,76.55754732243973,0.5535188480828345,61810
122,72.86581408322286,0.5528615731604173,166709
123,80.44908221947954,0.5947454110973976,152324
124,76.88749408067501,0.5006414395798355,116145
125,72.8045603435108,0.4258838105259585,117842
126,68.86933549465995,0.36352350955668866,97471
127,75.205749482465,0.4467423338534178,98061
128,80.4589684852364,0.5235223769980967,118738
129,79.6982203873972,0.5237030170415962,185546
130,86.1618373743006,0.6501567036474456,52009
131,80.91882926256459,0.4884139658681697,102192
