cluster,mean_age,female_ratio,size
116,65.68937267346067,0.46910660889729666,65548
117,66.96001912016087,0.5977180503670759,192467
118,59.55950891363867,1.0,80719
119,70.2048082100662,0.5082248476977818,189426
120,69.96596785718611,0.4414247477866996,165138
121,68.69970825766065,0.5038995582003426,310548
122,74.08905854770613,0.5079652810854054,216251
123,75.53097879497572,0.5682623810059307,409054
124,81.06069570270199,0.5341908560259898,75722
125,66.02687767222909,0.5045224866259452,532561
126,79.25391391216212,0.5084476334230233,274278
127,76.8237462939969,0.7619669057091453,78926
128,68.94195122654152,0.5195329199229539,208187
129,75.1719677993604,0.5312632922160783,253908
130,67.53976577266101,0.3581709351273819,342317
131,76.72689813214598,0.46211628432314444,367427
